語,漢字・原文,備註,發音,中文意思
たい,対,,1,對、…比…、面對面
たい,隊,,1,隊伍、隊
たい,〜帯,,,帶…、地帶
だい,〜台,,,輛、台
だい,〜代,,,費、年代、多歳
だい,大,,1,大、大學
だい,台,,1,高台、台地
だい,題,,1,題目、命題
だい〜,第〜,,1,第〜
たいいく,体育,,1,體育
だいいち,第一,副詞,1,首先、第一
たいいん（する）,退院（する）,,0,出院
たいおう,対応,,0,對應、符合
たいおん,体温,,"0,1",體溫
たいか,大家,,1,權威、名門
たいか,退化,,1,退步、退化
たいかい,大会,,0,大會
たいがい,大概,,0,大概
たいかく,体格,,0,體格
たいがく,退学,,0,退學
だいがく,大学,,0,大學
だいがくいん,大学院,,4,研究所
だいがくせい,大学生,,3,大學生
たいき,大気,,1,大氣
たいきん,大金,,0,巨款
だいきん,代金,,"0,1",貸款
だいく,大工,,1,木匠
たいぐう,待遇,,0,待遇
たいくつ,退屈,,0,無聊
たいけい,体系,,0,體系、系統
たいけつ,対決,,0,對質
たいけん,体験,,0,體驗
たいこ,太鼓,,0,鼓
たいこう,対抗,,0,對抗
たいざい,滞在,,0,停留
たいさく,対策,,0,對策
たいし,大使,,1,大使
たいじ,退治,,0,懲辦、撲滅
だいじ,大事,,3,重要的
たいしかん,大使館,,3,大使館
たいした,大した,,1,了不起的、（與否定語呼應）沒什麼了不起的
たいして,大して,,1,（與否定語呼應）並不那麼
たいしゅう,大衆,,0,大眾
たいじゅう,体重,,0,體重
たいしょ,対処,,1,應付
たいしょう,対象,,0,對象
たいしょう,対照,,0,對照、對比
だいしょう,大小,,1,大小
だいじょうぶ,大丈夫,,3,不要緊、沒關係
たいしょく,退職,,0,退休、退職
だいじん,大臣,,1,國務大臣
だいすき,大好き,,1,最喜歡
たいする,対する,,3,面對、對待、對於
だいする,題する,,3,標題
たいせい,体制,,0,體制、當局
たいせい,態勢,,0,狀態
たいせき,体積,,1,體積
たいせつ,大切,,0,重要、寶貴
たいせん,大戦,,0,大戰
たいそう,体操,,0,體操
たいそう,大層,,1,非常
だいたい,大体,,0,大致、基本上、根本
たいだん,対談,,0,對談
だいたん,大胆,,3,大膽
たいてい,大抵,,0,大抵、大體上、基本上
たいど,態度,,1,態度
たいとう,対等,,0,對等、同等
だいとうりょう,大統領,,3,總統
だいどころ,台所,,0,廚房
タイトル,title,,1,標題、題目
だいなし,台無し,,0,弄壞
たいのう,滞納,,0,拖欠
たいはん,大半,,"0,3",過半
たいひ,対比,,"1,0",對比
タイピスト,typist,,3,打字員
だいひょう,代表,,0,代表
たいぶ,大部,,1,大量、大部頭
タイプ,type,,1,類型、打字
だいぶ,大分,副詞,0,很、相當
たいふう,台風,,3,颱風
だいぶぶん,大部分,,3,大部分
タイプライター,typewriter,,4,打字機
だいぶん,大分,副詞,0,很、相當
たいへん,大変「たいへん暑い」,副詞,0,很、非常
たいへん,大変「それはたいへんですね」,形容動詞,0,嚴重、不得了
だいべん,代弁,,0,為…代言、代為辯解、替人賠償
だいべん,大便,,"0,3",大便
たいほ,逮捕,,1,逮捕
たいぼう,待望,,0,期望
たいぼく,大木,,0,很大的樹木
だいほん,台本,,0,劇本、腳本
タイマー,timer,,1,定時器
たいまん,怠慢,,0,怠慢
タイミング,timing,,0,時機
タイム,time,,1,時間、時、時代
タイムリー,timely,,1,適時、及時
だいめい,題名,,0,題名
だいめいし,代名詞,,3,代名詞
たいめん,対面,,0,見面
タイヤ,tire,,"0,1",輪胎、車胎
ダイヤ,diagram/diamond,,"0,1",鐵路營運圈、列車時刻表//鑽石、方塊
ダイヤグラム,diagram,,"0,1",鐵路營運圈、列車時刻表
ダイヤモンド,diamond,,4,鑽石
ダイヤル,dial,,0,撥號盤、刻度盤
たいよう,太陽,,1,太陽
だいよう,代用,,0,代用
たいら,平ら,,0,平、平坦
だいり,代理,,0,代理
たいりく,大陸,,"0,1",大陸
たいりつ,対立,,0,對立
たいりょく,体力,,1,體力
タイル,tile,,1,磁磚、瓦片
たいわ,対話,,0,對話
たいわん,台湾,,3,臺灣
たうえ,田植え,,3,插秧
ダウン,down,,1,下降、倒下、羽毛
たえず,絶えず,,1,不斷地
たえる,堪える、耐える,,2,耐、忍耐、能夠
たえる,絶える、断える,,2,斷絕
だえん,楕円,,0,橢圓
たおす,倒す,,2,推倒、弄倒
タオル,towel,,1,毛巾
たおれる,倒れる,,3,倒塌
だが,だが,接続詞,1,但是
たかい,高い「高い山」,,2,高
たかい,高い「値段が高い」,,2,(價錢)貴
たがい,互い,,0,彼此、相互
だかい,打開,,0,打開
たかまる,高まる,,3,高漲
たかめる,高める,,3,提高
たがやす,耕す,,3,耕
たから,宝,,0,寶
だから,だから,接続詞,1,因為、因此、所以
たき,滝,,0,瀑布
たきび,焚き火,,0,篝火
だきょう,妥協,,0,妥協
たく,宅,,0,家
たく,炊く,,0,煮、燒
だく,抱く,,0,抱、孵
たくさん,沢山,名詞//副詞,3//0,許多、很多
タクシー,taxi,,1,計程車
たくましい,たくましい,,4,健壯、旺盛
たくみ,巧み,,"1,0",技巧、巧妙
たくわえる,蓄える,,"0,3,4",積蓄、儲存
たけ,竹,,0,竹
たけ,丈,,2,長度、長短
だけ,〜だけ,,0,只〜
だげき,打撃,,0,打擊
だけつ,妥結,,0,妥協、達成協議
だけど,だけど,,0,但是
ださく,駄作,,0,拙劣的作品
たしか,確か「〜3年前だった」,,1,的確、大概
たしか,確か,,1,的確、確實、確定
たしかめる,確かめる,,4,査認、確認
たしざん,足し算,,2,加法
たしょう,多少,,0,多少、一點兒
たす,足す,,0,足夠
だす,出す,,1,拿出、提出
だす,〜出す,,,〜起來
たすうけつ,多数決,,2,多數表決
たすかる,助かる,,3,得救、省力
たすけ,助け,,3,幫助
たすける,助ける,,3,資助、救助、助長
たずさわる,携わる,,"0,4",參與、從事
たずねる,訪ねる,,3,拜訪
たずねる,尋ねる,,3,打聽、尋問
ただ,只「無料」,,1,免費、自給
ただ,只、唯,,1,普通、只是、只
ただいま。,只今。,挨拶語,4,我回來了
たたかい,戦い,,0,戰爭、鬥爭
たたかう,戦う,,0,戰鬥、作戰
たたく,叩く,,2,敲打、拍、攻擊
ただし,但し,,1,但、但是
ただしい,正しい,,3,正確
ただちに,直ちに,,1,立刻
たたみ,畳,,3,塌塌米
たたむ,畳む,,0,折疊
ただよう,漂う,,3,空間或者水面上漂
たち,〜達,,,表示人的複數
たちあがる,立上る,,"0,4",立起、伸起
たちさる,立去る,,0,走開、離開
たちどまる,立止まる,,"0,4",站住
たちば,立場,,"1,3",立場
たちまち,忽ち,,0,一會兒
たちよる,立寄る,,"0,3",挨近靠近
たつ,立つ,,1,立、站、起
たつ,建つ,,1,建
たつ,発つ,,1,出發
たつ,経つ,,1,經過
たつ,断つ,,1,截、斷
だっこ,抱っこ,,1,〔幼兒語〕抱
たっしゃ,達者,,0,健康、健壮、精通
だっしゅつ,脱出,,0,逃脫
たっする,達する,,"0,3",達成、到達
だっする,脱する,,"0,3",脫離、逃出
たっせい,達成,,0,達成、完成
だっせん,脱線,,0,（火車，電車等）脫軌、（説話等）離題
たった,唯,,0,只、僅
だったい,脱退,,0,退出、離脱
だったら,だったら,,1,如果
だって,だって,,1,話雖如此
たっぷり,たっぷり,,3,足夠、充分
たて,縦,,1,豎、長
たて,盾,,1,盾
だて,〜建て,,,（房屋建築樣式）
たてかえる,立替える,,"0,3",墊付
たてまえ,建前,,"0,2",上梁
たてまつる,奉る,,4,奉獻
たてもの,建物,,"2,3",房屋、建築物
たてる,立てる,,2,直立
たてる,建てる,,2,建立
だと,だと,接続詞,1,是
だとう,妥当,,0,妥當
たどうし,他動詞,,2,他動詞
たとえ,例え,副詞,2,即使
たとえ,例え,,"0,2",喻譬、例子
たとえば,例えば,,2,例如
たとえる,例える,,3,比喻
たどりつく,辿り着く,,"2,4",好不容易走到
たどる,辿る,,"0,2",前進、探索、沿着…走去
たな,棚,,0,架子、擱版
たに,谷,,2,谷
たにん,他人,,0,其他人
たね,種,,1,種子
たのしい,楽しい,,3,快樂、愉快
たのしみ,楽しみ,,"3,4",快樂、期待
たのしむ,楽しむ,,3,享樂、快樂
たのみ,頼み,,"1,3",懇求、乞求、依賴
たのむ,頼む,,2,拜託、懇求
たのもしい,頼もしい,,4,可靠的、可望
たば,束,,1,捆、把、束
たばこ,煙草,,0,香煙、菸
たばねる,束ねる,,3,紮、綑、紮
たび,足袋,,1,日本的布襪子
たび,度,,2,時候
たび,旅,,2,旅行
たびたび,度々,,0,屢次
だぶだぶ,だぶだぶ,,0//1,過於寬大、肌肉鬆弛//滿、肥大
ダブル,double,名詞,1,雙(份)、兩倍
ダブる,double,動詞,2,重複
たぶん,多分,,1,大概、或許
たべもの,食べ物,,"2,3",吃的東西
たべる,食べる,,2,吃
たほう,他方,,2,他方、另一方面
たぼう,多忙,,0,繁忙、忙碌
たま,偶,,0,很少有
たま,玉、弾、球,,2,子彈、玉、球
たまう,給う,,2,〔尊敬語〕對對方動作的尊敬
たまご,卵,,2,卵、雞蛋
たましい,魂,,1,靈魂
だます,騙す,,2,欺騙
たまたま,偶々,,0,偶爾、偶然
たまに,偶に,,0,偶爾、偶然
たまらない,堪らない,,0,受不了的
たまり,溜り,,0,積聚、大豆醤油
たまる,溜まる,,0,積存、積壓
だまる,黙る,,2,沉默無言
たまわる,賜る,,3,〔謙譲語〕賞賜
ダム,dam,,1,水庫
ため,為,,2,利益、為了…由於
だめ,駄目,,2,無用、沒用、不行、無望的
ためいき,溜息,,3,嘆氣
ためし,試し,,3,嚐試、企圖
ためす,試す,,2,試驗
ためらう,躊躇う,,3,躊躇、猶豫
ためる,溜める,,0,存、蓄
たもつ,保つ,,2,保住、維持
たやすい,容易い,,"0,3",容易的
たよう,多様,,0,各式各樣
たより,便り,,1,音信、消息
たよる,頼る,,2,依靠、依賴
だらけ,〜だらけ,,,盡是〜
だらしない,だらし無い,,4,不檢點的、沒出息
たりる,足りる,,0,足夠、足以
たる,足る,,0,滿足、足以
だるい,だるい,,"0,2",慵懶的
たるみ,弛み,,0,遲緩
たるむ,弛む,,0,鬆懈
だれ,誰,,1,誰、無論什麼人
だれか,誰か,,1,誰啊
たれる,垂れる,,2,垂懸、懸掛
タレント,talent,,"0,1",演員、才能
タワー,tower,,1,塔、塔樓
たん,単〜,,,單次
だん,〜団,,1,已某種目的所聚集的組織
だん,段,,1,段、層、等級
たん〜,短〜,,1,短的、不足、缺點
たんい,単位,,1,單位
たんいつ,単一,,0,單一
たんか,短歌,,1,日本的詩歌（由五，七，五，七，七共五句）
たんか,担架,,1,擔架
だんかい,段階,,0,階段、階梯
たんき,短期,,1,短期
たんき,短気,,1,沒耐性
だんけつ,団結,,0,團結
たんけん,探検,,0,探險
だんげん,断言,,3,斷言、斷定
たんご,単語,,0,單字
たんこう,炭鉱,,0,煤礦
だんし,男子,,1,男子
たんしゅく,短縮,,0,縮短、縮減
たんじゅん,単純,,0,單純、簡單
たんしょ,短所,,1,缺點
たんじょう,誕生,,0,誕生
たんじょうび,誕生日,,3,生日
たんす,箪笥,,0,衣櫥
ダンス,dance,,1,跳舞
たんすい,淡水,,0,淡水
だんすい,断水,,0,停水
たんすう,単数,,3,單數
だんせい,男性,,0,男性
だんぜん,断然,,0,斷然、斷乎
たんそ,炭素,,1,碳
たんだい,短大,,0,短期大學
だんたい,団体,,0,團體
だんだん,段々,,"0,3",逐漸、漸漸
だんち,団地,,0,社區、建築區
たんちょう,単調,,0,單調
だんてい,断定,,0,斷定、判定
たんとう,担当,,0,擔當、擔負
たんどく,単独,,0,單獨、獨自
だんな,旦那,,0,丈夫、主人、先生
たんなる,単なる,,1,僅、只
たんに,単に,,1,僅僅、單單、只是
たんぱ,短波,,1,短波
たんぱくしつ,蛋白質,,"3,4",蛋白質
ダンプ,dump,,1,有傾倒台的貨車、自動卸貨卡車
たんぺん,短編,,0,短編
だんぼう,暖房,,0,暖氣、暖屋裝置
だんめん,断面,,3,斷面、截面
だんりょく,弾力,,"0,1",彈性
ち,血,,0,血液
ち,地,,1,大地、地面
ちあん,治安,,"0,1",治安
ちい,地位,,1,地位、職位
ちいき,地域,,1,地域、地區
ちいさい,小さい,,3,(體積等)小
ちいさな,小さな,,1,微小的
チーズ,cheese,,1,起司
チーム,team,,1,隊(伍)、團隊、小組
チームワーク,teamwork,,4,配合、協同動作
ちえ,知恵,,2,智慧
チェック（する）,check,,1,查對、檢查
チェンジ,change,,1,交換
ちか,地下,,2,地下
ちかい,近い,,2,(距離)近、接近的
ちがい,違い,,0,差異、差別
ちがいない,違いない,,4,對的、沒錯的
ちかう,誓う,,"0,2",發誓、宣誓
ちがう,違う,,0,不同、不一致
ちがえる,違える,,0,改變、更改
ちかく,近く,,"1,2",附近、接近
ちかごろ,近頃,,2,近來、近日
ちかすい,地下水,,2,地層之下所囤積的雨水
ちかぢか,近々,,"0,2",不久、過幾天
ちかづく,近付く,,"0,3",接近、靠近
ちかづける,近付ける,,4,使接近
ちかてつ,地下鉄,,0,地下鐵
ちかよる,近寄る,,"0,3",接近、走近
ちから,力,,3,力量
ちからづよい,力強い,,5,有信心的
ちきゅう,地球,,0,地球
ちぎる,千切る//契る,,2,撕碎、揪下//約定、宣誓
ちく,地区,,"1,2",地區、地域
ちくさん,畜産,,0,畜產
ちくしょう,畜生,,3,畜類
ちくせき,蓄積,,0,積蓄
ちけい,地形,,0,地形
ちこく,遅刻,,0,遲到
ちじ,知事,,1,知事
ちしき,知識,,1,知識
ちしつ,地質,,"0,1",地質
ちじん,知人,,"0,1",熟人、朋友
ちず,地図,,1,地圖
ちせい,知性,,2,智力、理性
ちたい,地帯,,"0,1,2",地域、地帶
ちち,父,,"1,2",父親
ちち,乳,,"1,2",奶水
ちちおや,父親,,0,父親
ちぢまる,縮まる,,0,間隔很短
ちぢむ,縮む,,0,縮小、縮短、萎縮、收縮
ちぢめる,縮める,,0,縮小、縮短
ちぢれる,縮れる,,0,起皺、上捲
ちつじょ,秩序,,"1,2",秩序
ちっそく,窒息,,0,窒息
ちっとも,ちっとも（塵とも）,,3,一點也不
チップ,chip/tip,,1,晶片、馬鈴薯片/小費
ちてき,知的,,0,理智的
ちてん,地点,,"0,2",地點
ちのう,知能,,1,智能、智力
ちへいせん,地平線,,0,地平線
ちほう,地方,,2,地方
ちめい,地名,,0,地名
ちゃ,茶,,0,茶
チャイム,chime,,1,門鈴、鈴鐘
ちゃいろ,茶色,,0,棕色
ちゃいろい,茶色い,,0,茶色的
ちゃく,〜着「着く」,,1,到達
ちゃく,〜着,助数詞,1,〜套
ちゃくしゅ,着手,,"0,1",動手
ちゃくしょく,着色,,0,著色
ちゃくせき,着席,,0,就座
ちゃくちゃく,着々,,0,穩歩而順利的
ちゃくもく,着目,,0,着眼、看中
ちゃくりく,着陸,,0,著陸
ちゃっこう,着工,,0,開工
ちゃのま,茶の間,,0,(家庭的)飯廳
ちゃのゆ,茶の湯,,0,茶道
ちやほや,ちやほや,,1,奉承
ちゃわん,茶碗,,0,茶碗、飯碗
ちゃん,〜ちゃん,,,表示親愛（「さん」的轉音）
チャンス,chance,,1,(好)機會
ちゃんと,ちゃんと,,0,正好、好好的
チャンネル,channel,,"0,1",頻道
ちゅう,〜中,,,〜之中、在〜里面、正在〜中
ちゅう,注,,0,註
ちゅう,中,,1,中、中等、中間、中央
ちゅうい（する）,注意（する）,,1,注意
ちゅうおう,中央,,3,中央、中心
ちゅうがえり,宙返り,,3,翻筋斗
ちゅうがく,中学,,1,國中
ちゅうがっこう,中学校,,3,國中
ちゅうかん,中間,,0,中間
ちゅうけい,中継,,0,中繼
ちゅうこ,中古,,1,中古
ちゅうこく,忠告,,0,忠告
ちゅうし（する）,中止（する）,,0,中止
ちゅうじつ,忠実,,"0,1",忠實、如實
ちゅうしゃ,駐車,,0,停車
ちゅうしゃ（する）,注射（する）,,0,注射、打針
ちゅうしゃじょう,駐車場,,0,停車場
ちゅうじゅん,中旬,,"0,1",中旬
ちゅうしょう,抽象,,0,抽象
ちゅうしょう,中傷,,0,中傷
ちゅうしょく,昼食,,0,午餐
ちゅうしん,中心,,0,中心
ちゅうすう,中枢,,0,中樞、中心
ちゅうせい,中性,,0,中性
ちゅうせい,中世,,1,中世
ちゅうせん,抽選,,0,抽籤
ちゅうだん,中断,,0,中斷
ちゅうと,中途,,0,中途
ちゅうどく,中毒,,1,中毒
ちゅうねん,中年,,0,中年
ちゅうふく,中腹,,0,半山腰
ちゅうもく,注目,,0,注目
ちゅうもん,注文,,0,訂購、要求
ちゅうりつ,中立,,0,中立
ちゅうわ,中和,,0,中和
ちょ,〜著,,,著作、著述
ちょう,〜町,,,鎮
ちょう,〜兆,,,兆
ちょう,〜長,,,集團裡的最上位者、長
ちょう,〜帳,,,帳簿
ちょう,〜庁,,,公家機關建築的名稱
ちょう,腸,,1,腸
ちょう,蝶,,1,蝴蝶
ちょう〜,長〜,,,長
ちょう〜,超〜,,1,非常〜
ちょういん,調印,,0,簽字
ちょうか,超過,,0,超過
ちょうかく,聴覚,,"0,1",聽覺
ちょうかん,朝刊,,0,晨報
ちょうかん,長官,,0,長官
ちょうき,長期,,1,長期
ちょうこう,聴講,,0,聽講
ちょうこく,彫刻,,0,雕刻
ちょうさ,調査,,1,調查
ちょうし,調子,,0,調、語調、狀態
ちょうしゅう,徴収,,0,徴收
ちょうしょ,長所,,1,優點
ちょうじょ,長女,,1,長女
ちょうじょう,頂上,,3,頂點、極點
ちょうしんき,聴診器,,3,聽診器
ちょうせい,調整,,0,調整
ちょうせつ,調節,,0,調節
ちょうせん,挑戦,,0,挑戰
ちょうだい,頂戴,,3,〔謙譲語〕收到、領到//講給我…
ちょうたん,長短,,"0,1",長短
ちょうてい,調停,,0,調停
ちょうてん,頂点,,1,頂點
ちょうど,丁度,,0,正好、剛好、整整
ちょうなん,長男,,"1,3",長子
ちょうふく,重複,,0,重複
ちょうへん,長編,,0,長編
ちょうほう,重宝,,1,便利的、重視的
ちょうほうけい,長方形,,"0,3",矩行
ちょうみりょう,調味料,,3,調味料
ちょうめ,〜丁目,,,第〜條街
ちょうり,調理,,1,調理
ちょうわ,調和,,0,調和
チョーク,chalk,,1,粉筆
ちょきん,貯金,,0,存款
ちょくご,直後,,1,緊跟著
ちょくせつ,直接,,0,直接
ちょくせん,直線,,0,直線
ちょくぜん,直前,,0,眼看就…的時候、眼前
ちょくちょく,ちょくちょく,,1,時常、常常
ちょくつう,直通,,0,直達
ちょくめん,直面,,0,面對
ちょくりゅう,直流,,0,直流
ちょしゃ,著者,,1,作者
ちょしょ,著書,,0,著作
ちょぞう,貯蔵,,0,儲藏
ちょちく,貯蓄,,0,儲蓄
ちょっかく,直角,,0,直角
ちょっかん,直感,,0,直接察覺到
ちょっけい,直径,,0,直徑
ちょっと,一寸,,1,稍微、一點、等一下
ちょめい,著名,,0,有名
ちらかす,散らかす,,0,亂扔
ちらかる,散らかる,,0,零亂、亂七八糟
ちらす,散らす,,0,分散開、使消散
ちらっと,ちらっと,,2,稍微、一晃、一閃
ちり,地理,,1,地理
ちり,塵,,"0,2",塵埃、垃圾
ちりがみ,塵紙,,0,衛生紙
ちりとり,塵取,,"3,4",畚箕、畚斗
ちりょう,治療,,0,治療
ちる,散る,,0,落、謝
ちんぎん,賃金,,1,租金、工資
ちんでん,沈澱,,0,沉澱
ちんぼつ,沈没,,0,沉沒
ちんもく,沈黙,,0,沉默
ちんれつ,陳列,,0,陳列
つい,対,,0,對、雙
つい,遂,,1,相距不遠、不知不覺
ついか,追加,,0,追加、補加
ついきゅう,追及,,0,追究、追問
ついせき,追跡,,0,追蹤
ついたち,一日,,4,一號
（に）ついて,（〜に）就いて,,1,關於
ついで,序,,0,順便、有機會
ついに,遂に,,1,終於、終究
ついほう,追放,,0,驅逐
ついやす,費やす,,3,花費、耗費
ついらく,墜落,,0,從高處掉下
つう,通,,1,精通、內行
つうか,通過,,0,通過
つうか,通貨,,1,流通的貨幣
つうがく,通学,,0,通學
つうかん,痛感,,0,痛感、強烈感受到
つうきん,通勤,,0,通勤
つうこう,通行,,0,通行、往來
つうじょう,通常,,0,平常、通常
つうじる．ずる,通じる・通ずる,,0,通、相通
つうしん,通信,,0,通信、通訊、通音信
つうせつ,痛切,,0,深切、切身
つうち,通知,,0,通知
つうちょう,通帳,,0,(存款、帳簿、配給等的)帳簿、憑單
つうやく,通訳,,1,通譯員、口譯
つうよう,通用,,0,通用、有效
つうろ,通路,,1,通行的道路
つえ,杖,,1,拐杖
づかい,〜遣い,,,派去的人、使者
つかいみち,使い道,,0,用法、用途
つかう,使う,,0,使用
つかえる,仕える,,0,服侍、侍奉
つかさどる,司る,,4,掌管、管理
つかのま,束の間,,0,一剎那
つかまえる,捕まえる,,0,抓住、抓到、捉拿
つかまる,捕まえる,,0,被捉住、被捕獲
つかむ,掴む,,2,抓住、獲得
つかれ,疲れ,,3,疲憊
つかれる,疲れる,,3,疲勞、疲憊
つき,月「月と太陽」,,2,月、月亮
つき,〜月,,,〜個月
つき,〜付,,,附
つぎ,次,,2,下一個、接下來
つきあい,付合い,,"0,3",交往
つきあう,付合う,,3,交往、交際
つきあたり,突き当たり,,0,碰上、走到頭
つきあたる,突き当たる,,4,碰上、當住
つぎつぎ‧に,次々・次々に,,2,一個接一個
つきなみ,月並,,0,平凡
つきひ,月日,,2,日月
つぎめ,継ぎ目,,0,接縫
つきる,尽きる,,2,盡
つく,着く,,1,到達
つく,点く「電灯がつく」,,1,燈亮
つく,付く//着く//就く//点く,,0,沾上、附有//到達//就//點著
つく,突く,,"0,1",扎
つぐ,次ぐ,,0,接著、次於
つぐ,注ぐ,,0,注入
つぐ,接ぐ,,0,接
つぐ,継ぐ,,0,繼承、接上
つくえ,机,,0,桌子
つくす,尽す,,2,盡做
つくづく,熟々,,0,仔細地、深刻地
つぐない,償い,,"0,3",補償、賠償、贖罪
つくり,作り//造り,,3,做、製作、體格//構造、結構、生魚片
つくる,作る,,2,做、作、製作
つくる,作る,,2,作
つくる,造る,,2,製造、建造、組成
つくろう,繕う,,3,修補
つけくわえる,付け加える,,"0,5",加、補充、附加
つける,点ける「電灯をつける」,,2,開(燈)
つける,漬ける,,0,醃
つける,付ける「気をつける」,,2,加上、安上
つける,浸ける,,0,浸
つける,着ける,,2,點上、打開
つげる,告げる,,0,告訴
つごう,都合,,0,情況、總共
つじつま,辻褄「話の〜」,,0,條理
つたえる,伝える,,0,傳達
つたわる,伝わる,,0,傳
つち,土,,0,土、土壌
つつ,筒,,0,筒
つづき,続き,,0,繼續、連續
つづく,続く,,0,繼續、相連
つつく//つっつく,突付く,,2,扎、啄
つづける,続ける,,0,持續
つづける,〜続ける,,,持續
つっこむ,突っ込む,,3,深入、冲入、介入
つつしむ,謹む,,3,謹慎
つっぱる,突っ張る,,3,頂住、緊綳、固執己見
つつみ,包み,,3,包
つつむ,包む,,2,包、包圍
つとまる,務まる,,3,能擔任
つとめ,勤め//務め,,3,工作//擔任
つとめさき,勤め先,,0,工作地點
つとめて,努めて,,2,盡量
つとめる,勤める,,3,工作、擔任
つとめる,勤める‧務める‧努める,,3,工作//任//努力
つな,綱,,2,繩索
つながり,繋がり,,0,相連、關係
つながる,繋がる,,0,相連、連結
つなぐ,繋ぐ,,0,連接
つなげる,繋げる,,0,能連接
つなみ,津波,,0,海嘯
つねに,常に,,1,經常
つねる,抓る,,2,擰、捏
つの,角,,2,角
つのる,募る,,2,越來越厲害
つば,唾,,1,唾液
つばさ,翼,,1,鳥的翅膀
つぶ,粒,,1,粒、顆粒
つぶす,潰す,,0,壓壞、擠壞
つぶやく,呟く,,3,發牢騷
つぶら,円らな,,0,圓
つぶる,瞑る『目を』〜,,0,閉目、瞑目
つぶれる,潰れる,,0,弄壞、壓壞、破產
つぼ,壷,,0,壺、罐
つぼみ,蕾,,3,花苞、花蕾
つま,妻,,1,妻
つまずく,躓く,,0,絆倒
つまむ,摘む,,0,摘
つまらない,詰まらない,,3,無聊的、沒趣的
つまり,詰まり,,1,也就是
つまる,詰る,,2,擠滿、塞滿
つみ,罪,,1,罪過
つむ,積む,,0,堆積起來
つむ,摘む,,0,摘、掐、採
つめ,爪,,0,爪、指甲
つめたい,冷たい,,0,涼、冷、冷淡
つめる,詰める,,2,塞、填、待機
つもり,積もり,,0,打算
つもる,積もる,,2,堆積
つや,艶,,0,光澤、光亮
つゆ,梅雨,,2,梅雨
つゆ,露,,1,露水
つよい,強い,,2,強、有力、強韌
つよき,強気,,3,剛強
つよまる,強まる,,3,大起來、增強
つよめる,強める,,3,加強、增強
つらい,辛い,,0,痛苦、難受
づらい,〜辛い,,,難、不便
つらなる,連なる,,3,連接、成行
つらぬく,貫く,,3,貫穿
つらねる,連ねる,,3,排成、連接
つり,釣「fishing」,,0,釣魚
つり,釣「釣銭」,,0,零銭
つりあう,釣り合う,,3,相配
つりがね,釣鐘,,0,吊鐘
つりかわ,吊革,,0,吊環
つる,釣る「fishing」,,0,釣
つる,吊る,,0,懸掛
つるす,吊るす,,0,吊掛
つれ,連れ,,2,同伴
つれる,連れる,,0,帶領
て,手,,1,手
で,で,接続詞,1,那麼
であい,出会い、出合い,,0,碰見
であう,出会う、出合う,,2,遇見
てあて,手当て,,1,工資
てあらい,手洗い,,2,洗手
てい〜,低〜,,,低
ていあん,提案,,0,建議
ていいん,定員,,0,規定的人數
ていか,定価,,0,定價
ていか,低下,,"0,1",低落
ていき,定期,,1,定期、固定期、定期車票
ていぎ,定義,,"1,3",定義
ていきけん,定期券,,3,定期車票
ていきゅうび,定休日,,3,公休日
ていきょう,提供,,0,提供
ていけい,提携,,0,提攜、合作
ていこう,抵抗,,0,抵抗、反抗、抗拒、阻力、反作用力、電阻
ていさい,体裁,,0,樣子、外表、體面、體統、格局、形式、奉承話
ていし,停止,,0,停止、(車、馬等)停住、停頓
ていじ,提示,,"0,1",提示、出示(作為證據用的東西)、向對方提供自己的音見
ていしゃ,停車,,0,停車
ていしゅつ,提出,,0,提出、提交
ティシュペーパー,tissuepaper,,3,衛生紙、紙手帕
ていしょく,定食,,0,定食、客飯
ていせい,訂正,,0,訂正
ていたい,停滞,,0,停滯、停頓、滯銷
ていたく,邸宅,,0,邸宅、公館
ティッシュ（ペーパー）,tissuepaper,,1(4),衛生紙、紙手帕
ていでん,停電,,0,停電
ていど,程度,,"0,1",程度、水平、水準、限度
ていねい,丁寧,,1,有禮貌、恭恭敬敬、鄭重其事、小心謹慎、非常仔細
ていねん,定年,,0,退休的年齡
ていぼう,堤防,,0,堤防、提壩
ていり,定理,,1,定理
でいり,出入り,,"0,1",出入、常客、曲折、吵架、風波
でいりぐち,出入口,,"0,3",出入口
ていりゅうじょ,停留所,,"0,5",(公車、電車的)招呼站、站牌
ていれ,手入れ,,"1,3",修理、收拾、保養、整理、保養、搜捕
データ,data,,"0,1",資料、數字
デート,date,,1,約會、日期
テープ,tape,,1,紙帶、錄音帶
テーブル,table,,0,桌子
テープレコーダー,taperecorder,,5,卡式收音機、卡帶錄音機
テーマ,Thema,ドイツ語,1,題目、主題
ておくれ,手遅れ,,2,出發、起頭慢了、耽擱、耽誤
でかい,でかい,,2,好大的
てがかり,手掛かり,,2,(攀登時)手抓的地方、抓點、抓手(偵察調查)線索
てがける,手掛ける,,3,親自動手、親自照料、經手
でかける,出掛,,0,外出、到…去、出去、要出去走
てかず,手数,,"1,2",手續、麻煩、(象棋、圍棋)著數
てがみ,手紙,,0,信、書信
てがる,手軽,,0,簡便的、輕易的、簡單的
てき,敵,,0,敵人、敵手、對手、害處
てき,〜的,,,關於、對於、如…一般似的、表示…性質、狀態、在…上的
できあがり,出来上がり,,0,做完、做的品質
できあがる,出来上がる,,0,完成、做好、竣工、(酒)喝夠了
てきおう,適応,,0,適應、適合
